transcript_id
ENST00000619216.1
ENST00000607096.1
ENST00000410691.1
ENST00000612080.1
ENST00000614007.1
ENST00000621981.1
ENST00000411249.1
ENST00000384997.3
ENST00000384875.3
ENST00000362106.1
ENST00000613751.1
ENST00000620702.1
ENST00000616525.1
ENST00000635819.1
ENST00000385042.1
ENST00000579887.1
ENST00000582517.1
ENST00000585139.1
ENST00000517213.1
ENST00000384328.1
ENST00000364105.1
ENST00000516168.1
ENST00000408156.1
ENST00000618792.1
ENST00000364855.1
ENST00000516595.1
ENST00000385130.1
ENST00000517147.1
ENST00000578045.1
ENST00000364876.1
ENST00000577266.1
ENST00000362692.1
ENST00000517277.1
ENST00000384720.1
ENST00000362477.1
ENST00000364931.1
ENST00000618194.1
ENST00000364265.1
ENST00000622420.1
ENST00000584158.1
ENST00000517160.1
ENST00000459326.1
ENST00000408413.1
ENST00000622213.1
ENST00000384703.1
ENST00000384780.1
ENST00000411020.1
ENST00000517276.1
ENST00000516342.1
ENST00000516057.1
ENST00000516608.1
ENST00000383925.1
ENST00000516290.1
ENST00000384782.1
ENST00000384659.1
ENST00000583661.1
ENST00000362684.1
ENST00000384278.1
ENST00000582732.1
ENST00000577305.1
ENST00000408735.1
ENST00000363533.1
ENST00000364739.1
ENST00000622012.1
ENST00000516105.1
ENST00000408881.1
ENST00000365049.1
ENST00000364403.1
ENST00000581169.1
ENST00000614019.2
ENST00000581646.1
ENST00000581187.1
ENST00000577915.1
ENST00000583845.1
ENST00000384208.1
ENST00000516769.1
ENST00000578143.1
ENST00000459588.1
ENST00000614863.1
ENST00000580572.1
ENST00000580971.1
ENST00000384508.1
ENST00000516381.1
ENST00000516882.1
ENST00000459548.1
ENST00000516620.2
ENST00000459201.1
ENST00000384161.1
ENST00000384040.1
ENST00000384367.1
ENST00000411130.1
ENST00000517138.1
ENST00000517196.1
ENST00000408289.1
ENST00000364938.1
ENST00000363217.1
ENST00000408612.1
ENST00000384581.1
ENST00000384584.1
ENST00000628458.1
ENST00000384342.2
ENST00000387069.1
ENST00000516968.1
ENST00000583944.1
ENST00000384254.1
ENST00000581063.1
ENST00000577515.1
ENST00000583214.3
