gene_id,GFP+_ribo_A,GFP+_ribo_B,GFP+_rna_A,GFP-_rna_A,GFP+_rna_B,GFP-_rna_B
ENSG00000161021.11,0.004387,0.01339,8.982722,9.306214,8.501195,7.979162
ENSG00000161036.12,0.138024,0.179494,6.459969999999999,16.590167,6.8399220000000005,8.336542
ENSG00000161048.11,0.140248,0.09075599999999999,6.6922999999999995,3.1096429999999997,3.907305,3.708574
ENSG00000161057.11,1.63784,2.421364,54.385236000000006,38.50863,59.007179,65.65897
ENSG00000161091.12,0.041507,0.091332,22.134757999999998,32.714341,26.725179000000004,25.670981
ENSG00000161133.16,21.049732000000002,26.149368,8.613356,5.383573,6.975109,8.261861
ENSG00000161149.12,0,0,2.2281250000000004,1.374473,2.202288,1.8679890000000001
ENSG00000161179.13,0.009124,0.019363000000000002,3.836356,9.407644999999999,3.991225,4.708476
ENSG00000161202.17,0.092664,0.11985199999999999,24.119248000000002,33.070908,24.364399999999996,24.068658
ENSG00000161203.13,0.826748,1.7810770000000002,74.12063,86.86033600000002,89.27248399999999,87.51108599999999
ENSG00000161204.11,0.619907,0.873605,20.063812,24.866263999999997,20.043988000000002,22.156960000000005
ENSG00000161217.11,0.809898,0.740316,18.540489999999995,17.469148999999998,15.035487000000002,21.880691
ENSG00000161243.8,0.05879000000000001,0.087049,10.345785,8.206122,10.193602999999998,8.443352
ENSG00000161249.20,0.34240200000000004,0.8111090000000001,105.28401000000001,81.394177,91.937347,109.801641
ENSG00000161265.14,0.043658,0.048819,5.228702,4.432722999999999,10.439301,5.048683
ENSG00000161267.11,0.134338,0.285394,7.899113000000001,9.513855000000001,11.773949999999997,11.685064999999998
ENSG00000161270.19,0.028331,0.035449,8.214769,4.7006310000000004,4.696975999999999,3.6860530000000007
ENSG00000161277.10,0.023529,0.022019999999999998,4.497082,5.788791,4.331171,4.215024
ENSG00000161298.17,0.011875,0.010842,9.138601000000001,5.029602000000001,5.753199,5.790564
ENSG00000161328.10,0.002118,0.005359,1.435726,2.37255,2.689648,1.726212
ENSG00000161395.13,0.072961,0.153242,5.378676,7.320152,5.249477,6.701799
ENSG00000161405.16,0.003553,0.005809,0.286826,0.347695,0.238457,0.263665
ENSG00000161513.11,0.057461000000000005,0.115757,7.202605,26.037630999999994,7.097613000000001,11.563806999999999
ENSG00000161526.14,0.766377,0.719797,30.754379999999998,44.400815,29.628767999999997,36.323538
ENSG00000161533.11,0.446031,0.7516700000000001,19.347417000000004,18.198724000000006,19.211291,21.37681
ENSG00000161542.16,0.406006,0.477712,24.056627000000002,14.453614999999997,24.359571,21.679384000000002
ENSG00000161544.9,0.08443999999999999,0.127815,6.954499,6.534347,5.663476,4.911497
ENSG00000161547.16,0.142215,0.113601,34.91752100000001,45.824089,24.351741000000004,33.36221700000001
ENSG00000161551.14,0.012570999999999999,0.007392,6.728367999999999,3.342577,5.312094000000001,4.340647
ENSG00000161558.10,0.011342,0.00763,2.000449,2.035305,2.588279,2.05479
